"","Estimate","Std. Error","t value","Pr(>|t|)","p.bonferroni","p.holm"
"CTX_RH_LATERALORBITOFRONTAL",0.0340235260101308,0.00947901749099129,3.58935153801185,0.000577056535354972,0.0219281483434889,0.0219281483434889
"CTX_LH_LATERALORBITOFRONTAL",0.0312730322388434,0.0092279248309731,3.38895611003213,0.00110273602138246,0.0419039688125335,0.0408012327911511
"CTX_LH_ROSTRALMIDDLEFRONTAL",0.0334604083688696,0.0109202922746847,3.06405795075991,0.00299759719574856,0.113908693438445,0.107913499046948
"CTX_LH_PRECUNEUS",0.0297911475936466,0.00992062055951348,3.00295202451606,0.00359189688404387,0.136492081593667,0.125716390941536
"CTX_LH_INFERIORPARIETAL",0.028880160249878,0.00976402255383528,2.95781375868842,0.0040991347630035,0.155767120994133,0.139370581942119
"CTX_RH_ROSTRALMIDDLEFRONTAL",0.0252940730466058,0.00911626749097348,2.77460847563445,0.00691359533055881,0.262716622561235,0.228148645908441
"CTX_LH_PARSOPERCULARIS",0.0248585986353687,0.00903791747861592,2.75047860241977,0.00739426389966534,0.280982028187283,0.236616444789291
"CTX_RH_MIDDLETEMPORAL",0.0212598270602189,0.00788902368968446,2.69486160727567,0.00862063258386258,0.327584038186778,0.26723961009974
"CTX_RH_SUPERIORFRONTAL",0.0231713070515083,0.00882295014876576,2.6262538788967,0.0103875450415974,0.394726711580701,0.311626351247922
"CTX_LH_MIDDLETEMPORAL",0.0204182725949978,0.00788182746710764,2.59055056460029,0.0114315784577281,0.434399981393669,0.331515775274116
"CTX_RH_PARSORBITALIS",0.027254290038821,0.0108287937990079,2.51683525835701,0.0138928049470722,0.527926587988742,0.388998538518021
"CTX_LH_SUPERIORFRONTAL",0.0215882735242545,0.00867742311085893,2.48786687573629,0.0149839303894716,0.569389354799921,0.404566120515734
"CTX_RH_PRECUNEUS",0.0280330379849905,0.0114459042494266,2.44917634938234,0.0165610962535781,0.629321657635969,0.430588502593031
"CTX_RH_SUPERIORPARIETAL",0.0284377582478301,0.0117250845504206,2.42537767003224,0.0176035194971349,0.668933740891128,0.440087987428374
"CTX_LH_PARSORBITALIS",0.0241399549814284,0.0103059067430983,2.3423416864891,0.0217145786371295,0.825153988210923,0.521149887291109
"CTX_RH_INFERIORPARIETAL",0.0236684898061217,0.0104431672332973,2.26640915321707,0.0261974636924861,0.995503620314473,0.602541664927181
"CTX_RH_FRONTALPOLE",0.0329542302917835,0.0150561425627436,2.18875652607918,0.0316060722135557,1,0.695333588698226
"CTX_LH_SUPERIORPARIETAL",0.0240208662995931,0.0110778975709374,2.1683596680485,0.0331794885086277,1,0.696769258681181
"CTX_RH_MEDIALORBITOFRONTAL",0.0222343757898855,0.0112657320899471,1.97362902049891,0.0519653522545415,1,1
"CTX_LH_CAUDALMIDDLEFRONTAL",0.0198716188625431,0.0101168231745861,1.96421529956771,0.0530674678144783,1,1
"CTX_LH_SUPRAMARGINAL",0.0165470033630201,0.00978535287947077,1.69099710218268,0.0948297162734247,1,1
"CTX_LH_PARSTRIANGULARIS",0.0162076513007464,0.0100973655162496,1.605136634369,0.11250520706761,1,1
"CTX_LH_POSTERIORCINGULATE",0.0187905051344591,0.0125843313110089,1.4931667539634,0.139427713881441,1,1
"CTX_LH_MEDIALORBITOFRONTAL",0.0162631573551746,0.0110474249424547,1.47212200489148,0.145011495769932,1,1
"CTX_RH_ROSTRALANTERIORCINGULATE",0.0174154695949011,0.0118780863926028,1.46618478930636,0.146617989065555,1,1
"CTX_LH_FRONTALPOLE",0.0147778082226765,0.0132165074046775,1.11813263294102,0.266942294067529,1,1
"CTX_LH_ROSTRALANTERIORCINGULATE",0.0117692171782191,0.0108543700833038,1.08428375740776,0.281579145323605,1,1
"CTX_RH_CAUDALMIDDLEFRONTAL",0.00929302508890635,0.00880420877161595,1.05552075489921,0.294445666336444,1,1
"CTX_RH_POSTERIORCINGULATE",0.0135017823495947,0.0130068440981086,1.03805213991594,0.302453077789053,1,1
"CTX_RH_SUPRAMARGINAL",0.00774853363899434,0.00774087626663756,1.00098921260243,0.319927299234568,1,1
"CTX_RH_PARSTRIANGULARIS",0.00927486888484534,0.0102314556635616,0.906505309686966,0.367460372894313,1,1
"CTX_RH_PARSOPERCULARIS",0.00740294411567469,0.0101387363264387,0.730164379200796,0.467477074069344,1,1
"CTX_RH_CAUDALANTERIORCINGULATE",0.00841519505938593,0.0133720833154119,0.629310696089297,0.530984581234992,1,1
"CTX_LH_SUPERIORTEMPORAL",0.00387886232529814,0.00705712341919836,0.549637875787462,0.584138116837197,1,1
"CTX_RH_SUPERIORTEMPORAL",0.00322432370019983,0.00602107503954673,0.535506313909445,0.593823421898678,1,1
"CTX_RH_ISTHMUSCINGULATE",-0.0045712241390608,0.0119023350856835,-0.384061119616705,0.701978143923612,1,1
"CTX_LH_ISTHMUSCINGULATE",0.00407308785593439,0.0120452029517569,0.338150205708265,0.736158472180965,1,1
"CTX_LH_CAUDALANTERIORCINGULATE",-0.00175271962386939,0.0143158872782814,-0.122431784338539,0.902871966755979,1,1
