"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",1174.40848971614,90.3391145935494,13,966.255913306885,3.36244916896056,4.49914590368028e-05
"TIMEpostAV45_AVLT.",104.391010276099,104.391010276099,1,737.933436570751,3.88546497637344,0.0490790337497977
"factor(diag_prior)",9490.45814703502,2372.61453675875,4,995.206665308055,88.3094306744275,0
"factor(APOE4_BIN)",4.78177722193938,4.78177722193938,1,964.071011646906,0.177979194487397,0.673209726019629
"CORTICAL_SUMMARY_prior",280.233814008538,280.233814008538,1,981.636282567415,10.430387316359,0.00128073725723299
"Age.AV45",1166.16282392219,1166.16282392219,1,959.904202819388,43.4049330216686,7.32509608525334e-11
"factor(Gender)",2105.44445463696,2105.44445463696,1,955.29577847636,78.3652794101233,0
"Edu..Yrs.",910.514872651709,910.514872651709,1,958.641829176982,33.8896389526113,7.95104249107226e-09
"group:TIMEpostAV45_AVLT.",672.807988890483,51.7544606838833,13,611.818326253165,1.92631668020522,0.0247975182104121
"TIMEpostAV45_AVLT.:factor(diag_prior)",200.2409525531,50.060238138275,4,907.987778232861,1.86325720462651,0.114801003174651
"TIMEpostAV45_AVLT.:factor(APOE4_BIN)",6.0710378621081,6.0710378621081,1,609.072335058491,0.225965865461682,0.634701773181422
"TIMEpostAV45_AVLT.:CORTICAL_SUMMARY_prior",241.07852109468,241.07852109468,1,715.160247784244,8.97301547127326,0.00283463495034986
