"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",3.94493216212929,0.303456320163791,13,967.727217113579,3.91700006994937,3.09302717571569e-06
"UW_MEM_postAV45_",0.772315401353263,0.772315401353263,1,727.750004934575,9.96901128798658,0.00165768434862923
"factor(diag_prior)",38.1465913486594,9.53664783716485,4,990.948130623772,123.098606827812,0
"factor(APOE4_BIN)",0.0404904245112906,0.0404904245112906,1,966.613269742363,0.522648516786203,0.469888966741083
"CORTICAL_SUMMARY_prior",1.31920461996948,1.31920461996948,1,980.516204372476,17.0282318915253,3.99562472694903e-05
"Age.AV45",2.54815109317362,2.54815109317362,1,964.760049258975,32.8914158216092,1.30327172387368e-08
"factor(Gender)",3.96699391723567,3.96699391723567,1,961.46321854794,51.2057730183829,1.64868119156836e-12
"Edu..Yrs.",2.2040484753538,2.2040484753538,1,962.465444175756,28.4497552315695,1.19890847249948e-07
"group:UW_MEM_postAV45_",2.18030826467157,0.167716020359352,13,628.759275634708,2.16487059200027,0.00973858762472735
"UW_MEM_postAV45_:factor(diag_prior)",1.55839179819427,0.389597949548568,4,891.456247289693,5.0289122164606,0.000519230135388682
"UW_MEM_postAV45_:factor(APOE4_BIN)",0.0481571223684383,0.0481571223684383,1,641.185437207759,0.621609896224665,0.43074106048406
"UW_MEM_postAV45_:CORTICAL_SUMMARY_prior",1.86573346828175,1.86573346828175,1,711.017465042839,24.0828008519379,1.14510246174149e-06
