FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_0,-0.60475,-0.013543,-1.544992,-0.37639,-0.142749,2.505569,1.600024,0.818185,0.910369,0.832778,-0.016265,0.878321,-1.993198,0.851013,-1.993198,-0.235144,-2.154295,1.513346,-1.481763,0.861106,-0.60475,-0.618293,-2.163285,-2.539675,-2.682424,-0.176855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01533808969
NSFA_1,0.180381,0.334349,0.798068,0.865122,-0.873625,-1.545079,0.664043,-0.067855,0.090164,0.2929,0.216187,-0.710899,1.759726,-0.05396,1.759726,-0.520361,-0.881046,-1.430837,0.59838,0.117983,0.180381,0.51473,1.312798,2.17792,1.304295,-0.240784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327775839717
NSFA_2,0.373643,0.397866,1.131379,-0.336118,-3.763354,-0.098187,0.332283,-0.071544,0.001326,0.0,-0.250559,-2.974966,1.1215,1.425662,1.1215,0.432386,-0.898426,-0.774381,-0.742134,0.033864,0.373643,0.771509,1.902888,1.56677,-2.196584,-2.294771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299630324141
NSFA_6,0.0,0.0,-0.680793,0.075468,0.818216,0.00487,0.0,0.0,0.0,0.0,0.0,-0.294593,-0.468717,0.003701,-0.468717,0.0,0.708527,-0.210907,0.47975,0.0,0.0,0.0,-0.680793,-0.605325,0.212891,0.217761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126804085663
NSFA_9,0.0,0.0,0.0,-0.288437,-0.954154,0.0,0.900716,0.0,0.0,0.0,-0.203554,-1.85487,0.0,0.0,0.0,0.0,0.0,0.0,-0.349299,0.264416,0.0,0.0,0.0,-0.288437,-1.242591,-1.242591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0932390507332
NSFA_3,0.0,0.0,0.0,-1.065158,-0.725166,0.0,0.0,0.0,0.0,0.0,-1.065158,0.0,0.0,0.0,0.0,0.0,-0.725166,0.0,0.0,0.0,0.0,0.0,0.0,-1.065158,-1.790324,-1.790324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927384941358
NSFA_7,0.0,0.0,0.688909,-0.373621,0.23704,0.0,-0.419092,0.0,0.0,0.0,0.0,0.0,0.0,0.688909,0.0,0.0,0.0,0.0,0.282511,0.0,0.0,0.0,0.688909,0.315288,0.552328,0.552328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858061049062
NSFA_4,0.0,0.0,-0.309628,0.0,-0.340943,0.827773,-0.377989,0.0,0.0,0.0,0.0,0.0,0.0,-0.309628,0.0,0.0,0.385429,0.827773,-0.348383,0.0,0.0,0.0,-0.309628,-0.309628,-0.650571,0.177202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728915334467
NSFA_8,0.223188,0.0,0.179923,-0.488064,-0.548769,0.0,0.0,0.243308,0.0,0.0,-0.488064,-0.548769,0.403111,0.0,0.403111,0.0,0.0,0.0,0.0,0.0,0.223188,0.223188,0.403111,-0.084953,-0.633722,-0.633722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567281529662
NSFA_5,0.0,0.0,0.0,0.0,0.0,0.236937,0.0,0.0,-0.486784,-0.422773,0.0,0.0,0.0,0.236937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467795214465
