,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24
POS_1,LEFT_THALAMUS_PROPER,0.941214,CTX_RH_PARSOPERCULARIS,0.624905,RIGHT_AMYGDALA,0.934664,CTX_LH_PRECENTRAL,0.741393,CTX_LH_LATERALOCCIPITAL,0.732279,CTX_LH_PRECUNEUS,0.715075,,,CTX_RH_ROSTRALMIDDLEFRONTAL,0.460023,RIGHT_CEREBRAL_WHITE_MATTER,0.441394,CTX_RH_MIDDLETEMPORAL,0.77271,CTX_RH_PARACENTRAL,0.649887,,,RIGHT_HIPPOCAMPUS,0.739104,LEFT_CEREBELLUM_CORTEX,0.764514,LEFT_CEREBELLUM_WHITE_MATTER,0.615926,CTX_LH_INFERIORPARIETAL,0.557288,CTX_LH_CAUDALMIDDLEFRONTAL,0.533878,CTX_LH_ROSTRALANTERIORCINGULATE,0.56633,LEFT_CAUDATE,0.624779,CTX_LH_MEDIALORBITOFRONTAL,0.393398,CTX_LH_TEMPORALPOLE,0.473961,CTX_RH_PERICALCARINE,0.363379,CTX_RH_FRONTALPOLE,0.306854,CTX_LH_LINGUAL,0.353194,,
POS_2,RIGHT_THALAMUS_PROPER,0.926243,CTX_RH_TRANSVERSETEMPORAL,0.603778,LEFT_AMYGDALA,0.92249,CTX_LH_CAUDALMIDDLEFRONTAL,0.652321,CTX_LH_CUNEUS,0.605874,CTX_RH_PRECUNEUS,0.580616,,,CTX_LH_BANKSSTS,0.33828,LEFT_CEREBRAL_WHITE_MATTER,0.42306,CTX_RH_TEMPORALPOLE,0.470525,CTX_RH_SUPERIORFRONTAL,0.396965,,,LEFT_HIPPOCAMPUS,0.672117,RIGHT_CEREBELLUM_CORTEX,0.697941,RIGHT_CEREBELLUM_WHITE_MATTER,0.586379,CTX_RH_INFERIORPARIETAL,0.464982,CTX_RH_SUPERIORFRONTAL,0.499217,CTX_RH_ROSTRALANTERIORCINGULATE,0.544363,CTX_LH_FRONTALPOLE,0.458831,CTX_RH_MEDIALORBITOFRONTAL,0.376394,CTX_RH_TEMPORALPOLE,0.389715,CTX_RH_LINGUAL,0.314099,CTX_LH_FRONTALPOLE,0.283274,,,,
POS_3,LEFT_CEREBRAL_WHITE_MATTER,0.841072,CTX_RH_BANKSSTS,0.559258,CTX_LH_PARAHIPPOCAMPAL,0.697165,CTX_RH_POSTCENTRAL,0.639687,CTX_LH_SUPERIORPARIETAL,0.547223,CTX_LH_ISTHMUSCINGULATE,0.515994,,,CTX_RH_BANKSSTS,0.252892,,,RIGHT_ACCUMBENS_AREA,0.422718,CTX_LH_PARACENTRAL,0.372091,,,,,,,LEFT_CEREBRAL_WHITE_MATTER,0.353895,,,CTX_LH_SUPERIORFRONTAL,0.366493,CTX_RH_SUPERIORFRONTAL,0.214051,RIGHT_CAUDATE,0.378065,,,CTX_RH_LINGUAL,0.273823,CTX_RH_CUNEUS,0.298749,,,,,,
POS_4,RIGHT_CEREBRAL_WHITE_MATTER,0.79428,CTX_RH_SUPRAMARGINAL,0.550954,CTX_LH_ENTORHINAL,0.682155,CTX_LH_SUPRAMARGINAL,0.498736,CTX_LH_BANKSSTS,0.419402,CTX_LH_FUSIFORM,0.391858,,,,,,,CTX_RH_SUPRAMARGINAL,0.412469,CTX_LH_POSTERIORCINGULATE,0.362748,,,,,,,BRAIN_STEM,0.341882,,,,,,,,,,,,,CTX_LH_PERICALCARINE,0.253861,,,,,,
POS_5,RIGHT_CEREBELLUM_WHITE_MATTER,0.753823,CTX_RH_CAUDALMIDDLEFRONTAL,0.54657,LEFT_ACCUMBENS_AREA,0.491098,CTX_LH_POSTCENTRAL,0.492317,CTX_LH_INFERIORPARIETAL,0.398632,CTX_LH_BANKSSTS,0.347943,,,,,,,CTX_RH_INSULA,0.36208,CTX_LH_INFERIORTEMPORAL,0.308892,,,,,,,RIGHT_CEREBRAL_WHITE_MATTER,0.322278,,,,,,,,,,,,,,,,,,,,
POS_6,RIGHT_CAUDATE,0.74197,CTX_RH_SUPERIORFRONTAL,0.511215,CTX_RH_PARAHIPPOCAMPAL,0.48621,CTX_RH_PRECENTRAL,0.468014,CTX_RH_LATERALOCCIPITAL,0.330075,CTX_LH_INFERIORTEMPORAL,0.346404,,,,,,,CTX_RH_INFERIORTEMPORAL,0.333033,CTX_LH_SUPERIORFRONTAL,0.302587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_7,LEFT_CAUDATE,0.741404,CTX_RH_PRECUNEUS,0.504343,LEFT_HIPPOCAMPUS,0.482889,CTX_LH_SUPERIORFRONTAL,0.438315,CTX_RH_SUPERIORPARIETAL,0.302126,CTX_LH_INFERIORPARIETAL,0.339843,,,,,,,RIGHT_HIPPOCAMPUS,0.202064,CTX_LH_SUPERIORPARIETAL,0.283276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_8,LEFT_CEREBELLUM_WHITE_MATTER,0.714997,RIGHT_PUTAMEN,0.483363,CTX_LH_ISTHMUSCINGULATE,0.463553,CTX_RH_CAUDALMIDDLEFRONTAL,0.419091,CTX_LH_LINGUAL,0.29477,CTX_LH_MIDDLETEMPORAL,0.296026,,,,,,,CTX_LH_MIDDLETEMPORAL,0.179057,CTX_LH_PRECENTRAL,0.205515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_9,CTX_LH_INSULA,0.692455,CTX_RH_SUPERIORTEMPORAL,0.435469,RIGHT_HIPPOCAMPUS,0.455559,CTX_LH_PARSOPERCULARIS,0.311448,CTX_RH_POSTERIORCINGULATE,0.246042,CTX_RH_POSTERIORCINGULATE,0.286045,,,,,,,,,CTX_RH_INFERIORTEMPORAL,0.124955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_10,BRAIN_STEM,0.679707,CTX_RH_INSULA,0.431235,CTX_LH_BANKSSTS,0.401197,CTX_LH_ROSTRALMIDDLEFRONTAL,0.282884,CTX_RH_INFERIORPARIETAL,0.124492,CTX_RH_ROSTRALMIDDLEFRONTAL,0.21057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
