FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBGM,CEREBRAL_WHITE,CEREBWM,CINGULATE,FRONTAL,HEMIWM,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,MIDDLEFR,OCCIPITAL,ORBITOFR,PARIETAL,PARSFR,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBGM_NEG_ASYM,CEREBGM_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CEREBWM_NEG_ASYM,CEREBWM_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,HEMIWM_NEG_ASYM,HEMIWM_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,MIDDLEFR_NEG_ASYM,MIDDLEFR_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,ORBITOFR_NEG_ASYM,ORBITOFR_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,PARSFR_NEG_ASYM,PARSFR_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_0,0.381103,-0.051228,0.88319,1.198654,0.607875,-1.522391,-2.402345,0.0,0.0,0.0,0.0,0.0,0.67691,0.326497,0.0,1.017367,-0.756228,1.017367,0.0,0.320954,0.0,2.202202,0.0,-0.646372,1.605598,-0.84738,0.381103,0.329875,1.213065,2.411719,3.019594,1.497203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805035740794
NSFA_1,0.448385,0.431378,0.886548,-0.027063,-1.138597,-1.867766,0.327103,0.0,0.0,0.0,0.0,0.0,-0.349841,-0.30015,0.0,1.706673,0.020585,1.706673,0.0,0.008958,0.0,-1.29804,0.0,-1.711371,0.388294,-0.059326,0.448385,0.879763,1.766311,1.739248,0.600651,-1.267115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241795597289
NSFA_3,0.192667,0.0,0.708336,-0.61773,0.467509,0.234638,0.256402,0.0,0.0,0.0,0.0,0.0,-0.319901,0.0,0.0,0.901003,0.234638,0.901003,0.0,0.0,0.0,0.211107,0.0,0.0,0.0,-0.297829,0.192667,0.192667,0.901003,0.283273,0.750782,0.98542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196390726241
NSFA_5,0.15762,0.0,0.0,-1.751159,0.1434,-0.167749,0.0,0.0,0.0,0.0,0.0,0.0,-0.983517,-0.210168,0.0,-0.463595,-0.167749,-0.463595,0.0,0.479365,0.0,0.613284,0.0,0.0,-0.885508,0.0,0.15762,0.15762,0.15762,-1.593539,-1.450139,-1.617888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169052637516
NSFA_2,0.0,0.0,-0.870172,-0.177313,0.027276,1.205918,0.0,0.0,0.0,0.0,0.0,0.0,0.188478,0.0,0.0,0.0,-0.870172,0.0,0.0,0.0,0.0,0.20747,0.0,1.205918,-0.545985,0.0,0.0,0.0,-0.870172,-1.047485,-1.020209,0.185709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13495216613
NSFA_7,0.0,0.0,0.150944,0.378028,0.115476,-1.467674,0.301419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383462,-1.441431,0.383462,0.0,0.0,0.0,0.0,0.0,-0.258761,0.192085,0.0,0.0,0.0,0.150944,0.528972,0.644448,-0.823226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134808111976
NSFA_8,0.0,0.0,0.0,1.194872,0.702103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194872,1.896975,1.896975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120180545779
NSFA_6,0.30291,0.219641,0.397026,0.059248,-2.245799,0.2379,-0.237135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919577,0.0,0.919577,0.0,0.0,0.0,-0.6026,0.0,0.2379,-1.346816,0.0,0.30291,0.522551,0.919577,0.978825,-1.266974,-1.029074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110242921183
NSFA_4,0.0,0.0,0.913284,-0.417136,-0.166485,0.402711,-0.250745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.151761,0.0,0.0,0.164859,0.0,-0.32701,0.0,0.164234,-0.170725,0.0,0.0,0.0,0.913284,0.496148,0.329663,0.732374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778231440012
NSFA_9,0.0,0.0,0.0,0.175341,-0.270493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.658113,0.0,0.38762,0.0,0.0,0.175341,0.0,0.0,0.0,0.0,0.175341,-0.095152,-0.095152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511755376208
NSFA_11,0.0,0.0,0.0,0.0,0.350626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350626,0.350626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167614267897
NSFA_10,0.291205,0.0,0.306016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597221,0.0,0.597221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291205,0.291205,0.597221,0.597221,0.597221,0.597221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148705120234
