,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11
POS_1,CTX_INFERIORPARIETAL,0.761797,AMYGDALA,0.475749,CTX_POSTCENTRAL,0.700443,AMYGDALA,0.480709,CTX_LINGUAL,0.481959,CTX_LATERALOCCIPITAL,0.479365,CTX_ENTORHINAL,0.30291,CTX_PARAHIPPOCAMPAL,0.383462,CTX_ISTHMUSCINGULATE,0.862944,CTX_SUPRAMARGINAL,0.38762,CTX_PARAHIPPOCAMPAL,0.306016,CTX_SUPERIORFRONTAL,0.350626
POS_2,CTX_MIDDLETEMPORAL,0.757639,CTX_ENTORHINAL,0.448385,CTX_PRECENTRAL,0.505475,ACCUMBENS_AREA,0.256402,CTX_FUSIFORM,0.431325,CTX_SUPERIORPARIETAL,0.375506,AMYGDALA,0.263767,CTX_INFERIORTEMPORAL,0.378028,CTX_PRECUNEUS,0.702103,CTX_INFERIORTEMPORAL,0.175341,CTX_ENTORHINAL,0.291205,MIDDLEFR,0.27964
POS_3,CTX_INFERIORTEMPORAL,0.751251,HIPPOCAMPUS,0.431378,CTX_SUPRAMARGINAL,0.316508,CTX_PERICALCARINE,0.234638,CTX_TRANSVERSETEMPORAL,0.246411,CTX_INFERIORPARIETAL,0.237778,CTX_TEMPORALPOLE,0.254755,CTX_FUSIFORM,0.317724,CTX_POSTERIORCINGULATE,0.331928,,,,,,
POS_4,CTX_SUPRAMARGINAL,0.660524,CTX_ISTHMUSCINGULATE,0.299589,PARSFR,0.279413,CTX_PARAHIPPOCAMPAL,0.227627,CTX_CUNEUS,0.238477,CTX_ENTORHINAL,0.15762,CTX_PARACENTRAL,0.2379,PUTAMEN,0.301419,,,,,,,,
POS_5,MIDDLEFR,0.603683,CTX_TEMPORALPOLE,0.277958,MIDDLEFR,0.24241,CTX_PRECUNEUS,0.211107,CTX_LATERALOCCIPITAL,0.164859,,,HIPPOCAMPUS,0.219641,,,,,,,,,,
POS_6,CTX_BANKSSTS,0.54921,ACCUMBENS_AREA,0.261749,CTX_CAUDALANTERIORCINGULATE,0.188478,CTX_ENTORHINAL,0.192667,CTX_POSTCENTRAL,0.164234,,,CTX_PARAHIPPOCAMPAL,0.133259,,,,,,,,,,
POS_7,CTX_FUSIFORM,0.535125,CTX_PARAHIPPOCAMPAL,0.233819,,,,,,,,,,,,,,,,,,,,
POS_8,CTX_SUPERIORPARIETAL,0.504277,CTX_BANKSSTS,0.151493,,,,,,,,,,,,,,,,,,,,
POS_9,CTX_ISTHMUSCINGULATE,0.482832,HEMIWM,0.139453,,,,,,,,,,,,,,,,,,,,
POS_10,CTX_PARAHIPPOCAMPAL,0.425545,CTX_LINGUAL,0.122542,,,,,,,,,,,,,,,,,,,,
