Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
CTX_LH_CAUDALANTERIORCINGULATE,0.374394093,0.022612489,5.863636364,6.387455423,5.681818182,6.294921211,0.419833526,0.01446281,1.141017391,0.120744618,1.134466064,0.113349239,ctx-lh-caudalanteriorcingulate
CTX_LH_CAUDALMIDDLEFRONTAL,0.259049366,0.046028466,13.72727273,7.230083311,13.22727273,6.959396209,0.376929622,0.02238292,1.064013913,0.107635117,1.052168251,0.084210771,ctx-lh-caudalmiddlefrontal
CTX_LH_FRONTALPOLE,0.493278909,0.00109045,36.17424242,2.294579291,36.41666667,1.206307079,0.116916967,0.084825528,0.7913108,0.106883763,0.772811921,0.090736518,ctx-lh-frontalpole
CTX_LH_INFERIORPARIETAL,0.318223729,0.033689164,19.98484848,8.733412718,19.51515152,8.464260737,0.258731584,0.046143251,1.021550452,0.110936799,1.008853052,0.091622379,ctx-lh-inferiorparietal
CTX_LH_ISTHMUSCINGULATE,0.28778451,0.039772727,5.939393939,5.29258712,5.598484848,5.03902926,0.296527797,0.038108356,1.131050199,0.101761222,1.123162082,0.08471319,ctx-lh-isthmuscingulate
CTX_LH_LATERALORBITOFRONTAL,0.263659898,0.044995409,9.446969697,5.670650641,9.166666667,6.146157542,0.319778969,0.033402204,1.092706423,0.099627899,1.083878151,0.083618784,ctx-lh-lateralorbitofrontal
CTX_LH_MEDIALORBITOFRONTAL,0.427652287,0.013028007,25.00757576,7.68262129,25.06818182,7.969822991,0.331976228,0.030991736,0.983445425,0.09072554,0.974283503,0.077715401,ctx-lh-medialorbitofrontal
CTX_LH_MIDDLETEMPORAL,0.279895947,0.041437098,28.59090909,6.100117417,29,5.955644127,0.146053277,0.075068871,0.953996849,0.078726718,0.943659117,0.070474002,ctx-lh-middletemporal
CTX_LH_PARSOPERCULARIS,0.434303162,0.011822773,15.46969697,7.033943023,15.6969697,7.14030323,0.363536743,0.024908173,1.049194924,0.105329452,1.036929768,0.0804948,ctx-lh-parsopercularis
CTX_LH_PARSORBITALIS,0.409224963,0.016356749,25.96212121,8.038171531,26.3030303,7.931467244,0.179706915,0.065312213,0.972856914,0.102270278,0.962872577,0.090159445,ctx-lh-parsorbitalis
CTX_LH_PARSTRIANGULARIS,0.372527371,0.02318641,14.61363636,7.400499294,14.85606061,7.35581874,0.138437568,0.077479339,1.057690424,0.109378637,1.041404466,0.082576215,ctx-lh-parstriangularis
CTX_LH_POSTERIORCINGULATE,0.477415654,0.004074839,6.257575758,5.644280039,6,5.194694263,0.350308608,0.027433425,1.131038231,0.116494548,1.120335313,0.094356939,ctx-lh-posteriorcingulate
