"ID","SX","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","LAYOUT","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLEVAL","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","CONF","update_stamp"
"83","","ID","DATADIC","","","","","","N","38","0","","","","","""crfname"","""",""indexes"",""dodadni_datadic_ind=FLDNAME,TBLNAME"",""notnullcols"",""ID,FLDNAME,TBLNAME""","","table_type = system","17103","1","","","2a","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"84","","SX","DATADIC","","","","","","N","10","0","","","","","","","","17103","2","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"85","","FLDNAME","DATADIC","","","","","","T","10","0","","","","","","","","17103","3","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"86","","TBLNAME","DATADIC","","","","","","T","10","0","","","","","","","","17103","4","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"87","","CRFNAME","DATADIC","","","","","","T","100","0","","","","","","","","17103","5","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"88","","QUESTION","DATADIC","","","","","","T","10","0","","","","","","","","17103","6","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"89","","TEXT","DATADIC","","","","","","T","1500","0","","","","","","","","17103","7","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"90","","STATUS","DATADIC","","","","","","T","20","0","","","","","","","","17103","8","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"91","","DEPRULE","DATADIC","","","","","","T","30","0","","","","","","","","17103","9","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"92","","TYPE","DATADIC","","","","","","T","1","0","","","","","","","","17103","10","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"93","","LENGTH","DATADIC","","","","","","T","20","0","","","","","","","","17103","11","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"94","","DECIML","DATADIC","","","","","","N","5","0","","","","","","","","17103","12","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"95","","RANGEVAL","DATADIC","","","","","","T","5000","0","","","","","","","","17103","13","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"96","","RANGESQL","DATADIC","","","","","","T","200","0","","","","","","","","17103","14","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"97","","RANGEPRL","DATADIC","","","","","","T","5000","0","","","","","","","","17103","15","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"98","","UNITS","DATADIC","","","","","","T","30","0","","","","","","","","17103","16","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"99","","CODE","DATADIC","","","","","","T","2000","0","","","","","","","","17103","17","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"100","","NOTES","DATADIC","","","","","","T","500","0","","","","","","","","17103","18","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"101","","LAYOUT","DATADIC","","","","","","T","2000","0","","","","","","","","17103","19","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"102","","OBJID","DATADIC","","","","","","N","38","0","","","","","","","","17103","20","","","","","","0","","return 2;","","","","","","","{}","2015-01-05 10:24:13.0"
"103","","COLID","DATADIC","","","","","","N","38","0","","","","","","","","17103","21","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"104","","RANGEJSCPT","DATADIC","","","","","","T","1000","0","","","","","","","","17103","22","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"105","","NAVJSCPT","DATADIC","","","","","","T","1000","0","","","","","","","","17103","23","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"106","","FTYPE","DATADIC","","","","","","T","2","0","","","","","","","","17103","24","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
"107","","TAB","DATADIC","","","","","","N","2","0","","","","","","","","17103","25","","","","","","0","","1","","","","","","","{}","2015-01-05 10:24:13.0"
