"ID","VISCODE","VISNAME","VISORDER","QCNAME","STATUS","VORDER","XOVER","SCHEDULE","ATTRIBS","update_stamp"
"1","sc1va","Phone Screen","1","","1","","","","alias=phonesc;","2013-03-22 17:54:11.0"
"2","sc2va","Safety Evaluation","2","","1","","","","alias=safetysc;","2013-03-22 17:54:11.0"
"3","sc3va","Psychological Evaluation","3","","1","","","","alias=psychsc;","2013-03-22 17:54:11.0"
"4","sc","Screening","4","","1","","","","alias=sc;","2013-03-22 17:54:11.0"
"5","scmri","Screening MRI","5","","1","","","","alias=scmri;","2013-03-22 17:54:11.0"
"6","bl","Baseline","6","","1","","","","alias=bl;","2013-03-22 17:54:11.0"
"7","m06va","Month 6 SFVAMC TelCheck","7","","1","","","","alias=vatel;","2013-03-22 17:54:11.0"
"8","m06","Month 6 TelCheck","8","","1","","","","alias=tel;","2013-03-22 17:54:11.0"
"9","m12va1","Year 1 SFVAMC Follow-up","9","","1","","","","alias=phonefu;","2013-03-22 17:54:11.0"
"10","m12va2","Year 1 Psychological Evaluation","10","","1","","","","alias=psychfu;","2013-03-22 17:54:11.0"
"11","m12","Year 1 Clinic Visit","11","","1","","","","alias=clinic;","2013-03-22 17:54:11.0"
"12","nv","No Visit Defined","","","1","","","","alias=nv;","2013-03-22 17:54:11.0"
