"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","Participant roster ID","-4","-4","","-4","-4","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","VISCODE","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","VISCODE2","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","EXAMDATE","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","Date of LP","-4","-4","D","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","RUNDATE","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","Run date","-4","-4","D","-4","-4","-4","-4","-4","","-4","Sample processing date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","ABETA","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","ABETA","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","TAU","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","TAU","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","PTAU","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","PTAU","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","ABETA_RAW","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","ABETA","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","Raw (untransformed) result","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","TAU_RAW","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","TAU","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","Raw (untransformed) result","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
"-4","PTAU_RAW","UPENNBIOMK7","UPENN-Third batch analysis of CSF biomarkers","-4","PTAU","-4","-4","","-4","-4","-4","-4","-4","pg/mL","-4","Raw (untransformed) result","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-10 10:55:18.0"
